Tipo de atividade,Data,Favorito,Título,Distância,Calorias,Tempo,FC Média,FC máxima,TE Aeróbico,Cadência de corrida média,Cadência de corrida máxima,Ritmo médio,Melhor ritmo,Subida total,Descida total,Comprimento médio da passada,Proporção de média vertical,Oscilação vertical média,Tempo médio de contato com o solo,Saldo de tempo médio de contato com o solo,GAP médio,Normalized Power® (NP®),Training Stress Score®,Potência média,Energia máxima,Passos,Descarrregamento da Body Battery,Temp mínima,Descompressão,Tempo da melhor volta,Número de voltas,Temp máxima,Resposta média,Resposta mínima,Resposta máxima,Tempo em movimento,Duração,Elevação mínima,Elevação máxima
Corrida,2026-03-28 06:38:00,false,"São Paulo - Treino 18k","18,02","1.471","01:53:15","153","171","4,6","166","180","6:17","4:38","54","56","0,96","10,6","10,3","262","50,6% E / 49,4% D","6:18","365","0,0","364","526","18.616","-21","22,0","Não","00:02:23,2","19","28,0","35","20","47","01:53:09","01:58:27","743","759"
Corrida,2026-03-26 06:43:29,false,"Taboão da Serra - Treino 4x800m","7,01","576","00:46:48","145","169","3,4","158","172","6:40","4:50","13","9","0,95","10,4","10,0","269","50,7% E / 49,3% D","6:39","361","0,0","338","463","7.252","-8","23,0","Não","00:02:00","12","30,0","34","21","50","00:46:40","00:48:19","759","766"
Corrida em esteira,2026-03-25 08:01:59,false,"Corrida em esteira","6,51","548","00:45:00","141","159","3,2","161","165","6:55","6:00","--","--","0,90","10,9","10,0","280","51,8% E / 48,2% D","--","331","0,0","325","403","7.158","-13","--","Não","00:04:24,5","7","--","34","19","43","00:44:59","00:45:00","--","--"
Corrida em esteira,2026-03-23 07:46:28,false,"Corrida em esteira","6,22","497","00:45:00","134","150","2,7","161","165","7:14","6:57","--","--","0,86","9,7","8,3","293","--","--","281","0,0","280","295","7.208","-10","--","Não","00:01:40,2","7","--","--","--","--","00:44:58","00:45:00","--","--"
Corrida,2026-03-21 06:37:31,false,"São Paulo - Treino 16k","15,30","1.321","01:40:01","151","166","4,1","165","172","6:32","5:05","62","58","0,93","10,8","10,2","265","50,6% E / 49,4% D","6:31","366","0,0","364","500","16.274","--","22,0","Não","00:03:42,5","16","26,0","36","21","47","01:39:55","01:51:54","726","756"
Corrida em esteira,2026-03-20 08:02:55,false,"Corrida em esteira","1,32","129","00:10:00","141","161","2,2","156","171","7:34","6:05","--","--","0,88","9,3","8,2","289","--","--","294","0,0","272","345","1.542","-2","--","Não","00:02:36,5","2","--","--","--","--","00:09:34","00:10:00","--","--"
Corrida em esteira,2026-03-19 07:49:23,false,"Corrida em esteira","6,01","517","00:40:25","141","161","3,3","163","168","6:44","5:44","--","--","0,91","10,6","9,8","278","51,2% E / 48,8% D","--","344","0,0","341","402","6.512","-9","--","Não","00:00:01,6","7","--","34","17","44","00:40:17","00:40:25","--","--"
Corrida,2026-03-17 06:15:45,false,"Taboão da Serra - Treino 4x800m","6,63","562","00:42:51","147","174","3,4","157","178","6:28","3:54","13","10","0,97","10,3","10,0","261","51,1% E / 48,9% D","6:29","386","0,0","358","660","6.654","-12","21,0","Não","00:00:02,0","12","29,0","35","15","46","00:42:47","00:42:51","760","766"
Corrida em esteira,2026-03-16 12:59:22,false,"Corrida em esteira","6,15","509","00:40:00","141","159","3,2","162","166","6:31","5:40","--","--","0,95","10,7","10,3","275","51,2% E / 48,8% D","--","362","0,0","358","412","6.442","-10","--","Não","00:01:07,0","7","--","33","12","44","00:39:56","00:40:00","--","--"
Corrida,2026-03-14 07:32:10,false,"São Paulo - Treino Longo 14/03","14,18","1.200","01:30:28","149","168","4,0","165","176","6:23","4:49","48","42","0,95","10,9","10,6","261","51,0% E / 49,0% D","6:22","381","0,0","378","531","14.758","-19","23,0","Não","00:00:00,9","16","29,0","35","17","48","01:30:22","01:43:23","752","765"
Corrida em esteira,2026-03-13 08:21:34,false,"Corrida em esteira","6,00","548","00:40:00","148","165","3,6","162","168","6:40","5:45","--","--","0,86","11,4","10,0","275","51,3% E / 48,7% D","--","335","0,0","330","402","6.392","-9","--","Não","00:04:34,2","6","--","35","19","47","00:39:55","00:40:00","--","--"
Corrida,2026-03-11 07:00:46,false,"Taboão da Serra - Treino 4x800m","7,08","602","00:47:35","146","174","3,4","159","171","6:43","4:52","12","6","0,94","10,8","10,2","267","51,6% E / 48,4% D","6:43","372","0,0","354","473","7.458","-14","22,0","Não","00:00:01,4","12","27,0","35","17","51","00:47:32","00:58:02","763","769"
Corrida em esteira,2026-03-09 21:17:51,false,"Corrida em esteira","6,00","537","00:41:54","142","158","3,3","163","171","6:59","6:20","--","--","0,84","12,3","10,3","276","51,8% E / 48,2% D","--","339","0,0","335","428","6.764","-10","--","Não","00:05:38,4","6","--","34","17","43","00:41:45","00:42:42","--","--"
